,Date,Underlying,C215,C220,C225,C230,C235,P215,P220,P225,P230,P235
0,2024-10-10,229.04,18.05,14.41,11.23,8.65,5.8,3.3,4.67,6.4,8.35,10.25
1,2024-10-11,227.55,17.89,14.1,10.95,7.55,5.46,3.06,4.35,5.95,8.5,10.8
2,2024-10-14,231.3,19.5,16.0,12.5,9.27,6.7,2.46,3.42,4.84,6.6,9.0
3,2024-10-15,233.85,22.53,19.5,14.05,10.62,7.83,2.19,3.07,4.2,5.9,8.07
4,2024-10-16,231.78,18.75,15.18,12.04,9.21,6.47,2.16,3.23,4.53,6.7,8.74
5,2024-10-17,232.15,19.88,16.0,12.28,9.22,6.51,2.09,2.9,4.23,5.9,8.45
6,2024-10-18,235.0,23.24,18.35,14.79,11.07,7.85,1.59,2.35,3.33,4.85,6.75
7,2024-10-21,236.48,23.8,18.94,14.87,11.28,8.5,1.39,1.99,2.92,4.25,6.08
8,2024-10-22,235.86,23.19,19.2,14.6,10.92,8.25,1.35,2.03,3.05,4.29,6.14
9,2024-10-23,230.76,18.05,13.9,11.45,8.25,5.7,2.3,3.4,4.78,6.78,10.0
10,2024-10-24,230.57,18.75,14.57,11.15,8.2,5.7,2.3,3.35,4.76,6.8,9.2
11,2024-10-25,231.41,19.35,15.15,11.8,8.72,6.0,2.1,3.23,4.48,6.5,9.0
12,2024-10-28,233.4,21.35,16.9,13.15,9.6,6.8,1.69,2.61,3.6,5.34,7.6
13,2024-10-29,233.67,20.8,17.15,13.35,9.6,6.75,1.47,2.4,3.59,5.15,7.2
14,2024-10-30,230.1,18.25,14.42,10.5,7.6,5.24,2.26,3.4,5.0,7.0,9.5
15,2024-10-31,225.91,15.27,11.84,8.6,5.8,4.04,3.4,4.98,7.05,9.12,12.12
16,2024-11-01,222.91,11.06,8.0,5.15,3.05,1.64,2.86,4.4,6.85,9.54,13.64
17,2024-11-04,222.01,10.1,6.95,4.33,2.3,1.22,2.92,4.55,6.9,9.79,13.5
18,2024-11-05,223.45,11.15,7.4,4.65,2.58,1.27,2.18,3.74,6.05,8.65,12.4
